,TD3_det_agent
189,-124.77958965768657
190,-127.65576508559522
191,-127.4058778614043
192,-1.5776560072657415
193,-1.3974906611406057
194,-126.13167084551431
195,-260.8875369303717
196,-126.23469778646425
197,-127.625803199773
198,-126.92115423711445
199,-496.7455529943976
200,-129.99007740537604
201,-261.50894360175425
202,-259.94470606478677
203,-256.69494462142654
204,-128.36731802404975
205,-129.50764101057226
206,-0.42777493283608253
207,-131.29159771760462
208,-605.52603862921
209,-127.88923855261285
210,-129.63177250876544
211,-122.98050357134274
212,-377.51890493214097
213,-256.6727524999876
214,-259.8716353467594
215,-510.502146897528
216,-123.01686731656228
217,-127.09994604043968
218,-2.2381972027928803
219,-121.86422110270826
220,-376.3268911939431
221,-127.93999306344949
222,-126.35310210450866
223,-259.52067510376656
224,-125.48463929622545
225,-266.09287579079296
226,-0.5763237221591394
227,-131.7451957320767
228,-130.94404742374638
229,-250.31861950680695
230,-131.20323862595572
231,-258.56890532895073
232,-2.973153127104783
233,-371.5210200451349
234,-129.65719677394642
235,-129.43999340183922
236,-371.8490717000853
237,-248.44810527380906
238,-127.87437655885309
239,-1.1049311582445402
240,-246.7108944956588
241,-394.4669725871772
242,-128.9362628419261
243,-126.73648881009763
244,-129.0897289391654
245,-257.929678353068
246,-126.84113689845226
247,-404.2587859704484
248,-130.87116643463068
249,-132.05370766310787
250,-377.21362776934365
251,-129.60542746213633
252,-439.2941565190036
253,-258.0808163010674
254,-250.94695840671682
255,-243.5177749232821
256,-130.41129543588377
257,-365.0937606071132
258,-371.75707691346054
259,-253.1964022637379
260,-251.79105109286812
261,-270.087337031227
262,-452.4307557608036
263,-128.6036971353904
264,-129.49717149500404
265,-127.32183047726532
266,-247.4006966023727
267,-1.5217939939360239
268,-124.05369432238916
269,-475.9774937863961
270,-127.16446584151481
271,-406.6808392742335
272,-129.1173772354895
273,-262.25994522930415
274,-471.0197855281811
275,-252.59295388763837
276,-0.5869477396396364
277,-349.4639781116946
278,-0.9609663790574192
279,-125.41966532258714
280,-0.774534196419606
281,-131.37803585378776
282,-247.40495453176172
283,-129.42918895284112
284,-132.4423294202012
285,-375.8537595809389
286,-367.63473780780464
287,-252.96087739943857
288,-245.00254565126866
289,-127.94715050765812
290,-267.24732499842327
291,-124.91596599593605
292,-128.01295195307378
293,-237.40208060376338
294,-129.97812992463813
295,-491.6962377977876
296,-125.17383592562871
297,-118.91223273482152
298,-124.4037874735961
299,-263.77073845547534
300,-245.53143831767554
301,-388.0706998242236
302,-252.7308636347393
