,Unnamed: 0,TD3_det_agent,TD3_stoc_agent
53,53,-509.4620006862722,-449.5929242229571
54,54,-127.72706465966606,-385.46968397286525
55,55,-258.8364133427893,-244.78196464355048
56,56,-393.78011006535286,-375.05646492226543
57,57,-2.3588133926106702,-482.61837826065886
58,58,-256.91638243276924,-508.9225484558297
59,59,-250.47865121160655,-128.01241016620565
60,60,-245.88057487499043,-389.1028207294071
61,61,-128.7555752527175,-253.07470614366466
62,62,-386.823187616814,-491.33506335769835
63,63,-131.17650371378215,-578.5482971574925
64,64,-0.5149008000595722,-399.7682964827148
65,65,-247.0373918477385,-388.92914499669394
66,66,-2.9227174685354433,-0.9215253525209248
67,67,-499.1835074559018,-0.8537534965585267
68,68,-510.6085640464682,-256.908775835864
69,69,-395.7268622853661,-1.2415482575677466
70,70,-263.4186029486657,-0.6128421527050338
71,71,-265.26485583983447,-388.0772107425544
72,72,-127.67700620674714,-251.88502225285123
73,73,-401.79883533608637,-612.2975642996328
74,74,-126.91009883227129,-376.2958828637724
75,75,-239.07912866160427,-126.73185673045435
76,76,-125.70224234454773,-244.96358466768874
77,77,-0.5887486150663417,-1.1772307081070439
78,78,-127.30928126922242,-380.5368577192127
79,79,-243.37570414271408,-478.00155160657334
80,80,-127.66825460913972,-379.310374457832
81,81,-390.2318053060191,-608.381640940891
82,82,-496.8956776407222,-368.5822464878432
83,83,-128.86697612488916,-249.99569281865487
84,84,-0.5428316062224965,-123.28153294621004
85,85,-129.57971986935328,-401.9315068240617
86,86,-0.5017826051428237,-388.3504025339262
87,87,-372.4236615260781,-384.65616723576227
88,88,-374.96295716601736,-128.34511863185625
89,89,-127.92658698592932,-124.13311850910995
90,90,-244.0418523605853,-125.41736546485492
91,91,-125.31734127047164,-0.6378198653283152
92,92,-129.06541623886326,-126.40029842725959
93,93,-263.8812407065583,-492.18149428024634
94,94,-255.8593804131352,-127.96683781005721
95,95,-131.25638958935085,-126.29937780217988
96,96,-0.7011636504591083,-376.02350788073886
97,97,-254.08422769079223,-504.25880077991536
98,98,-247.9209835650023,-0.9824666294026901
99,99,-128.49404934562764,-371.6123746996353
100,100,-129.7417316878055,-368.08934038140234
101,101,-390.1940392431589,-124.63337665564522
102,102,-243.12173232187808,-382.5922066225215
103,103,-401.67739878415534,-376.2642069120802
104,104,-126.60080507397647,-369.0460911149964
